Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,Status
0,01,45.0,29787.24591401054,29831.841811008075,1.1308932281840116,-2.2254660470746512,2.2341236526794486,0.11308932281840117,non-stationkeeping
10,01,45.0,29766.260403528137,29855.32935755632,2.6962654585362533,-2.0985510482401004,2.3487546548245306,0.15653722303522416,non-stationkeeping
20,01,45.0,29745.160447875893,29878.040958133002,4.37977300920327,-2.1099955652242026,2.2711600576683253,0.16835075506670172,non-stationkeeping
30,01,45.0,29724.959343916864,29898.50808983725,5.83717344049119,-2.020110395902976,2.046713170424739,0.14574004312879202,non-stationkeeping
40,01,45.0,29703.940813679732,29921.653271961157,9.044966852269216,-2.101853023713249,2.31451821239078,0.3207793411778025,non-stationkeeping
50,01,45.0,29682.622657004515,29942.611976178472,13.850994696060148,-2.1318156675215723,2.095870421731437,0.4806027843790932,non-stationkeeping
60,01,45.0,29662.567494928255,29961.299449831644,18.719315043658135,-2.0055162076258837,1.8687473653170297,0.4868320347597985,non-stationkeeping
70,01,45.0,29643.555241219656,29979.270736675026,25.553583196286876,-1.901225370859998,1.7971286843382481,0.6834268152628742,non-stationkeeping
80,01,45.0,29623.865929329393,29998.068477485507,31.52569920622662,-1.9689311890264036,1.8797740810480148,0.5972116009939745,non-stationkeeping
90,01,45.0,29602.55136662931,30016.35483924145,39.84747061816469,-2.131456270008289,1.8286361755942473,0.8321771411938073,non-stationkeeping
100,01,45.0,29582.402960116753,30035.793466971732,46.787140772046115,-2.014840651255783,1.9438627730284277,0.6939670153881425,non-stationkeeping
110,01,45.0,29562.984238519704,30056.274652309854,53.44063949438491,-1.9418721597049717,2.0481185338122794,0.6653498722338796,non-stationkeeping
120,01,45.0,29543.658037864454,30077.02279407331,59.90216730507731,-1.9326200655251198,2.074814176345682,0.6461527810692406,non-stationkeeping
130,01,45.0,29522.38101165921,30097.37605753861,67.13892201584827,-2.1277026205242335,2.035326346530235,0.723675471077095,non-stationkeeping
140,01,45.0,29502.342332351345,30118.458659569347,73.84222406529922,-2.0038679307864413,2.1082602030735975,0.6703302049450952,non-stationkeeping
150,01,45.0,29482.95527677887,30139.86329787268,79.88294080183196,-1.9387055572476832,2.1404638303329984,0.6040716736532743,non-stationkeeping
160,01,45.0,29463.376692187056,30161.664970192756,86.31258311732799,-1.957858459181617,2.180167232007633,0.6429642315496028,non-stationkeeping
170,01,45.0,29444.788306574046,30183.703225520916,92.18829800393792,-1.8588385613011187,2.203825532816117,0.587571488660992,non-stationkeeping
180,01,45.0,29427.03307553406,30206.453734199353,99.34103773300858,-1.7755231039986392,2.2750508678436994,0.7152739729070662,non-stationkeeping
190,01,45.0,29408.49973267698,30229.74474324973,105.7873035742589,-1.853334285707842,2.329100905037397,0.644626584125032,non-stationkeeping
200,01,45.0,29389.41677153601,30252.86383053069,110.45132808825744,-1.9082961140971355,2.3119087280958803,0.4664024513998534,non-stationkeeping
